SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
2024,2023-24,1610612738,Boston Celtics,201950,Jrue Holiday,G,PG,11-10-2023,22300010,BOS,BKN,Made Shot,True,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.6,12.35,7,1,11,39
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,8.75,3,1,11,13
2024,2023-24,1610612738,Boston Celtics,1628369,Jayson Tatum,F,PF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,30.05,28,1,10,27
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.4,17.45,18,1,10,22
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Made Shot,True,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,27.95,27,1,10,2
2024,2023-24,1610612738,Boston Celtics,204001,Kristaps Porzingis,C,C,11-10-2023,22300010,BOS,BKN,Made Shot,True,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.6,12.75,13,1,9,28
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.6,24.95,26,1,8,53
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.6,18.75,18,1,8,26
2024,2023-24,1610612738,Boston Celtics,201950,Jrue Holiday,G,PG,11-10-2023,22300010,BOS,BKN,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,24.75,26,1,7,53
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,8.85,3,1,7,34
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.0,30.75,27,1,7,13
2024,2023-24,1610612738,Boston Celtics,204001,Kristaps Porzingis,C,C,11-10-2023,22300010,BOS,BKN,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.5,17.45,14,1,6,33
2024,2023-24,1610612738,Boston Celtics,201950,Jrue Holiday,G,PG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.9,27.25,25,1,6,16
2024,2023-24,1610612738,Boston Celtics,1630573,Sam Hauser,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.9,13.65,24,1,5,44
2024,2023-24,1610612738,Boston Celtics,1627759,Jaylen Brown,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.1,20.25,17,1,5,7
2024,2023-24,1610612738,Boston Celtics,1630573,Sam Hauser,F,SF,11-10-2023,22300010,BOS,BKN,Made Shot,True,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.6,28.75,27,1,4,52
2024,2023-24,1610612738,Boston Celtics,1628436,Luke Kornet,C,C,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.3,6.65,3,1,4,11
2024,2023-24,1610612738,Boston Celtics,1628401,Derrick White,G,SG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,20.85,15,1,3,54
2024,2023-24,1610612738,Boston Celtics,1630573,Sam Hauser,F,SF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.4,15.05,24,1,3,34
2024,2023-24,1610612738,Boston Celtics,1628401,Derrick White,G,SG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.6,19.05,16,1,3,7
2024,2023-24,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,11-10-2023,22300010,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.4,27.65,27,1,2,40
2024,2023-24,1610612738,Boston Celtics,1628401,Derrick White,G,SG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,5.45,22,1,2,6
2024,2023-24,1610612738,Boston Celtics,1628401,Derrick White,G,SG,11-10-2023,22300010,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,28.25,27,1,1,36
2024,2023-24,1610612738,Boston Celtics,1628369,Jayson Tatum,F,PF,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.2,28.75,26,1,1,19
2024,2023-24,1610612738,Boston Celtics,1628436,Luke Kornet,C,C,11-10-2023,22300010,BOS,BKN,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.25,0,1,1,17
2024,2023-24,1610612738,Boston Celtics,201950,Jrue Holiday,G,PG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.5,7.65,4,1,0,53
2024,2023-24,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,11-10-2023,22300010,BOS,BKN,Missed Shot,False,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.8,28.85,28,1,0,41
2024,2023-24,1610612738,Boston Celtics,1630202,Payton Pritchard,G,PG,11-10-2023,22300010,BOS,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.7,13.05,24,1,0,36
